StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,P_MD_A,P_MD_B,P_MD_C,P_MD_D,P_MD_A_2C,P_MD_B_2C,P_MD_C_2C,P_MD_D_2C,Pharma_OE,T_MD_A,T_MD_B,T_MD_C,T_MD_D,T_MD_A_2C,T_MD_B_2C,T_MD_C_2C,T_MD_D_2C,Training_OE,Q66,PROLIFIC_PID,pay,time,STUDY_ID,SESSION_ID,threshold,comparative,prob,vignette,condition,propstab2,propstab3,propstab4,propstab5,propstab1,propstab6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Adult Consent Form

Princeton University

 

This study has been approved by the Institutional Review Board for Human Subjects.

TITLE OF RESEARCH: Explanation and Understanding



PRINCIPAL INVESTIGATOR: Tania Lombrozo



PRINCIPAL INVESTIGATOR’S DEPARTMENT: Psychology



You are being invited to take part in a research study. Before you decide to participate in this study, it is important that you understand why the research is being done and what it will involve. Please take the time to read the following information carefully. Please ask the researcher if there is anything that is not clear or if you need more information.



Purpose of the research:

This study is designed to test hypotheses about the nature of people's intuitive theories about the world, how they can be changed, and how they influence judgments and behavior. We also hope to learn about how you conceptually understand the world around you. Our intuitive sense of everyday objects and events in the world play a significant role in our thoughts and behaviors, and we wish to understand the nature of human cognition. 



Study Procedures: 

You may be asked to do one or more of the following tasks 1) causal learning tasks (e.g., figuring out what causes what), 2) social tasks (e.g., reasoning about others’ minds and behavior), 3) linguistic tasks (e.g., word associations and learning), 4) imagination tasks (e.g., reasoning about events counter to fact), 5) categorization/association tasks (e.g., grouping objects or stating what comes to mind given a prompt), 6) general cognitive tasks (e.g., impulse control and searching for hidden objects). You may be asked to make judgments about what you see, answer multiple choice or open-ended questions about your judgments (such as making predictions and providing explanations), observe events, and perform actions yourself (such as grouping objects). Sometimes you might watch a short video clip, look at pictures, or listen to music, and you may be asked to answer questions about how the clip or music made you feel.



Your total expected time commitment for this study is: [Field-time].



Benefits and Risks: 

There are no direct benefits to you as a participant, but this research will help us understand various cognitive processes, which may benefit society in a number of ways, including influencing legal and public policy.



Risks associated with participation in this study are minimal. You may feel slight discomfort answering some questions, but you may refrain from answering any questions that make you uncomfortable and may withdraw your participation at any time even after completing the experiment without penalty.



Confidentiality:

We will not be asking for any personally identifying information, and we will handle responses as confidentially as possible. Prolific IDs will never be tied to your responses on this survey. However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, data containing anything that might be personally identifiable (e.g. Prolific IDs or IP addresses) will be encrypted on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as part of this experiment indefinitely. This anonymized data (containing neither Prolific IDs nor IP addresses) may be shared with the scientific community or with other participants to be used as stimuli in future studies.



Compensation:

For your participation, you will receive [Field-pay]. If for any reason you do not complete the study (e.g. technical difficulties, or a desire to stop), we will only be able to pay you if you send an email through Prolific, or by emailing the lab manager at cognition@princeton.edu. If you have any questions about the study, feel free to contact the lab manager or the Principal Investigator, Tania Lombrozo, at lombrozo@princeton.edu.



Who to contact with questions:



1.PRINCIPAL INVESTIGATOR:

Tania Lombrozo

lombrozo@princeton.edu 



2. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at:

Assistant Director, Research Integrity and Assurance

Phone: (609) 258-8543

Email: irb@princeton.edu



3. I understand the information that was presented and that: A. My participation is voluntary, and I may withdraw my consent and discontinue participation in the project at any time. My refusal to participate will not result in any penalty. B. I do not waive any legal rights or release Princeton University, its agents, or you from liability for negligence. 



 4. I hereby give my consent to be the subject of your research.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","In a controlled experiment, [Field-prob]% of patients who took Medication A, which has the active [Field-propstab2], experienced a reduction in the severity of their headaches. Should you stock Medication A?","In a controlled experiment, 70% of patients who took Medication B, which has the active [Field-propstab3], experienced a reduction in the severity of their headaches. Should you stock Medication B?","In a controlled experiment, 1% of patients who took Medication C, which has the active [Field-propstab4], experienced a reduction in the severity of their headaches. Should you stock Medication C?","In a controlled experiment, 1% of patients who took Medication D, which has the active [Field-propstab5], experienced a reduction in the severity of their headaches. Should you stock Medication D?","In a controlled experiment, [Field-prob]% of patients who took Medication A, which has the active [Field-propstab2], experienced a reduction in the severity of their headaches. Should you stock Medication A?","In a controlled experiment, 70% of patients who took Medication B, which has the active [Field-propstab3], experienced a reduction in the severity of their headaches. Should you stock Medication B?","In a controlled experiment, 1% of patients who took Medication C, which has the active [Field-propstab4], experienced a reduction in the severity of their headaches. Should you stock Medication C?","In a controlled experiment, 1% of patients who took Medication D, which has the active [Field-propstab5], experienced a reduction in the severity of their headaches. Should you stock Medication D?","In the box below, please summarize in a few sentences what you have learned about the efficacy of active ingredients in headache medicines. As a reminder, the active ingredients that you learned about were Reptol and Psylo, [Field-propstab6].","In a controlled experiment, [Field-prob]% of hires who attended Training Program A, which uses [Field-propstab2], went on to become successful employees. Should you recommend Training Program A?","In a controlled experiment, 70% of hires who attended Training Program B, which uses [Field-propstab3], went on to become successful employees. Should you recommend Training Program B?","In a controlled experiment, 1% of hires who attended Training Program C, which uses [Field-propstab4], went on to become successful employees. Should you recommend Training Program C?","In a controlled experiment, 1% of hires who attended Training Program D, which uses [Field-propstab5], went on to become successful employees. Should you recommend Training Program D?","In a controlled experiment, [Field-prob]% of hires who attended Training Program A, which uses [Field-propstab2], went on to become successful employees. Should you recommend Training Program A?","In a controlled experiment, 70% of hires who attended Training Program B, which uses [Field-propstab3], went on to become successful employees. Should you recommend Training Program B?","In a controlled experiment, 1% of hires who attended Training Program C, which uses [Field-propstab4], went on to become successful employees. Should you recommend Training Program C?","In a controlled experiment, 1% of hires who attended Training Program D, which uses [Field-propstab5], went on to become successful employees. Should you recommend Training Program D?","In the box below, please summarize in a few sentences what you have learned about the efficacy of different kinds of training programs. As a reminder, the two kinds of training programs that you learned about were trainings that use case studies and trainings that use simulations, [Field-propstab6].","Was anything about this survey confusing difficult or frustrating for you? If so, please tell us below:",PROLIFIC_PID,pay,time,STUDY_ID,SESSION_ID,threshold,comparative,prob,vignette,condition,propstab2,propstab3,propstab4,propstab5,propstab1,propstab6
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID143""}","{""ImportId"":""QID144""}","{""ImportId"":""QID145""}","{""ImportId"":""QID146""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID235_TEXT""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID245""}","{""ImportId"":""QID246""}","{""ImportId"":""QID247""}","{""ImportId"":""QID248""}","{""ImportId"":""QID250_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""pay""}","{""ImportId"":""time""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""threshold""}","{""ImportId"":""comparative""}","{""ImportId"":""prob""}","{""ImportId"":""vignette""}","{""ImportId"":""condition""}","{""ImportId"":""propstab2""}","{""ImportId"":""propstab3""}","{""ImportId"":""propstab4""}","{""ImportId"":""propstab5""}","{""ImportId"":""propstab1""}","{""ImportId"":""propstab6""}"
5/24/22 7:45,5/24/22 7:51,IP Address,*******,100,360,TRUE,5/24/22 7:51,R_1LAoN38endTnT8Q,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5c6ec0e2f4c22800015504f5,Yes,Yes,No,No,,,,,The ingredient Reptol seemed to help more people. I think that active ingredient is a good headache medicine.,,,,,,,,,,I have a hard time trying to remember what I read about. I usually have to go back over and over again.,5c6ec0e2f4c22800015504f5,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce189393a8c07c54d9726,50,Yes,98,pharma,stability,ingredient Reptol and must be taken with food,ingredient Reptol and must be taken without food,ingredient Psylo and must be taken with food,ingredient Psylo and must be taken without food,either must be taken with food or must be taken without food,"and medicines containing either ingredient must taken with food or without food, depending on the medication"
5/24/22 8:11,5/24/22 8:13,IP Address,*******,100,120,TRUE,5/24/22 8:13,R_2thhndUQzNUR8zO,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5b21c4ab31d0080001b9f55e,,,,,,,,,,Yes,Yes,No,No,,,,,Type 1 has a better ratio of successful employees ,,5b21c4ab31d0080001b9f55e,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce6e33630821bfcfaab4f,50,Yes,85,training,proportionality,Type-1 case studies,Type-2 case studies,Type-1 simulations,Type-2 simulations,that both simulations and case studies come in two types: Type-1 and Type 2,each of which come in one of two types: Type-1 and Type-2
5/24/22 8:10,5/24/22 8:13,IP Address,*******,100,179,TRUE,5/24/22 8:13,R_2Xhx1JvcTVQgit1,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5dc592c6aa431440aa755d5b,,,,,,,,,,Yes,No,No,No,,,,,Supposedly that the case studies that take place on weekends,The data pool felt rather small. It was also confusing because it was presented as though it was asking my opinion yet there was a clear right and wrong answer.,5dc592c6aa431440aa755d5b,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce74fbedf9bc1e6f99f38,80,No,98,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 8:10,5/24/22 8:13,IP Address,*******,100,222,TRUE,5/24/22 8:13,R_1ooR1Pwp0P1mq1l,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5fdb9bf4e66d7f0008c23f6c,Yes,No,No,No,,,,,Pyslo does not reduce headaches. Reptol does reduce but only an except able amount in type one,,,,,,,,,,Nope,5fdb9bf4e66d7f0008c23f6c,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce6b7616a03444dfe7b28,80,No,85,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
5/24/22 8:15,5/24/22 8:19,IP Address,*******,100,205,TRUE,5/24/22 8:19,R_3QQOT4Oam0bH2WK,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5b97386d8e5b7b00010e1a8e,Yes,No,No,No,,,,,Seems reptol is more effective against headaches in at least 80 percent or more patients,,,,,,,,,,,5b97386d8e5b7b00010e1a8e,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce8862781ddbb08f3b54b,80,No,98,pharma,stability,ingredient Reptol and must be taken with food,ingredient Reptol and must be taken without food,ingredient Psylo and must be taken with food,ingredient Psylo and must be taken without food,either must be taken with food or must be taken without food,"and medicines containing either ingredient must taken with food or without food, depending on the medication"
5/24/22 8:15,5/24/22 8:19,IP Address,*******,100,273,TRUE,5/24/22 8:19,R_2CTGu9OKsxgcx4L,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,604fdcd6af4aa7257d4ce23c,Yes,Yes,No,No,,,,,The active ingredients in Repto and Psylo type one will reduce headaches by over 50%.,,,,,,,,,,,604fdcd6af4aa7257d4ce23c,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce862b89835a8d5d71f61,50,Yes,85,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
5/24/22 8:13,5/24/22 8:21,IP Address,*******,100,475,TRUE,5/24/22 8:21,R_2S35O3X9Uf57cuw,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,6109a5154bfaad8f41606b51,,,,,,,,,,Yes,Yes,No,No,,,,,"Trainings that use simulations are not quite as effective, regardless of when the trainings takes place.",,6109a5154bfaad8f41606b51,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce80343ee49be0dc572d7,50,Yes,98,training,stability,case studies and takes place on weekends,case studies and does not take place on weekends,simulations and takes place on weekends,simulations and does not take place on weekends,either take place on weekends or do not take place on weekends,and they either take place on weekends or do not take place on weekends
5/24/22 8:17,5/24/22 8:23,IP Address,*******,100,341,TRUE,5/24/22 8:23,R_Oefr1TXSyD7kmjv,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5e3b8f110d41ad3a7bc35019,Yes,Yes,No,No,,,,,"According to the research studies provided, medications with the active ingredient Reptol Type 1 or Type 2 are effective in reducing the severity of headaches. The experiments with Psylo Type 1 and 2 did not show that these ingredients were effective in reducing the severity of headaches. ",,,,,,,,,,,5e3b8f110d41ad3a7bc35019,$0.60 ,3 minutes,628b73cfc29e0b431ef8cb63,628ce8f4c472cb1ab22a78db,50,Yes,85,pharma,proportionality,ingredient Type-1 Reptol,ingredient Type-2 Reptol,ingredient Type-1 Psylo,ingredient Type-2 Psylo,that both ingredients come in two types: Type-1 and Type-2,each of which come in one of two types: Type-1 and Type-2
