StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,PID,CompCheck1,CompCheck2,CharSel,NoteCardChoice_LL,NoteCardChoice_HL,NamedPrice,HowHelpful_4,Q98_1,Q98_2,Q98_3,Q98_4,Q98_5,Checker,Feedback,pay,time,PROLIFIC_PID,STUDY_ID,SESSION_ID,loss,cost,coins1,notes,coins2,coins3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Adult Consent Form

Princeton University

 

This study has been approved by the Institutional Review Board for Human Subjects.

TITLE OF RESEARCH: Explanation and Understanding



PRINCIPAL INVESTIGATOR: Tania Lombrozo 



PRINCIPAL INVESTIGATOR’S DEPARTMENT: Psychology



You are being invited to take part in a research study. Before you decide to participate in this study, it is important that you understand why the research is being done and what it will involve. Please take the time to read the following information carefully. Please ask the researcher if there is anything that is not clear or if you need more information.



Purpose of the research:

This study is designed to test hypotheses about the nature of people's intuitive theories about the world, how they can be changed, and how they influence judgments and behavior. We also hope to learn about how you conceptually understand the world around you. Our intuitive sense of everyday objects and events in the world play a significant role in our thoughts and behaviors, and we wish to understand the nature of human cognition. 



Study Procedures: 

You may be asked to do one or more of the following tasks 1) causal learning tasks (e.g., figuring out what causes what), 2) social tasks (e.g., reasoning about others’ minds and behavior), 3) linguistic tasks (e.g., word associations and learning), 4) imagination tasks (e.g., reasoning about events counter to fact), 5) categorization/association tasks (e.g., grouping objects or stating what comes to mind given a prompt), 6) general cognitive tasks (e.g., impulse control and searching for hidden objects). You may be asked to make judgments about what you see, answer multiple choice or open-ended questions about your judgments (such as making predictions and providing explanations), observe events, and perform actions yourself (such as grouping objects). Sometimes you might watch a short video clip, look at pictures, or listen to music, and you may be asked to answer questions about how the clip or music made you feel.



Your total expected time commitment for this study is: [Field-time].



Benefits and Risks: 

There are no direct benefits to you as a participant, but this research will help us understand various cognitive processes, which may benefit society in a number of ways, including influencing legal and public policy.



Risks associated with participation in this study are minimal. You may feel slight discomfort answering some questions, but you may refrain from answering any questions that make you uncomfortable and may withdraw your participation at any time even after completing the experiment without penalty.



Confidentiality:

We will not be asking for any personally identifying information, and we will handle responses as confidentially as possible. Prolific IDs will never be tied to your responses on this survey. However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, data containing anything that might be personally identifiable (e.g. Prolific IDs or IP addresses) will be encrypted on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as part of this experiment indefinitely. This anonymized data (containing neither Prolific IDs nor IP addresses) may be shared with the scientific community or with other participants to be used as stimuli in future studies.



Compensation:

For your participation, you will receive [Field-pay]. If for any reason you do not complete the study (e.g. technical difficulties, or a desire to stop), we will only be able to pay you if you send an email through Prolific, or by emailing the lab manager at cognition@princeton.edu. If you have any questions about the study, feel free to contact the lab manager or the Principal Investigator, Tania Lombrozo, at lombrozo@princeton.edu.



Who to contact with questions:



1.PRINCIPAL INVESTIGATOR:

Tania Lombrozo

lombrozo@princeton.edu 



2. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at:

Assistant Director, Research Integrity and Assurance

Phone: (609) 258-9843

Email: irb@princeton.edu



3. I understand the information that was presented and that: A. My participation is voluntary, and I may withdraw my consent and discontinue participation in the project at any time. My refusal to participate will not result in any penalty. B. I do not waive any legal rights or release Princeton University, its agents, or you from liability for negligence. 



 4. I hereby give my consent to be the subject of your research.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","Suppose that you are going to play a role-playing game in which the object is to end the game with as many health points and gold coins as possible. You begin the game with 1000 health points and 1000 gold coins.

Your character may sustain damage, leading to a loss of health points. The main way to counteract damage is by purchasing remedies. These remedies can come in varying strengths, with the strength corresponding to the amount of health points that are replenished. So, for example, if you sustain damage that causes you to lose 120 health points, then a remedy of strength 90 will give you back 90 of the 120 health points you lost.

To show that you understand, suppose that you have 1000 health points, and then sustain damage, leading to a loss of 100 health points. An Earth Elixir is a remedy with strength 95. After you take an Earth Elixir, how many health points do you have?","Now suppose that you again have 1000 health points, and then sustain damage, leading to a loss of 100 health points. A Water Ointment is a remedy with strength 10. After you take a Water Ointment, how many health points do you have?",Please select the type of character that you would like to play as from the options below.,"You are about to go on a quest and will likely sustain damage. In the table below, there is a list of remedies with different strengths. In the future, you won't have access to this information, but you will have access to a note card that you can purchase prior to your quest, summarizing the information in the table. Recall that you have 1000 gold coins. 

 

	
		
			Remedy
			Strength
		
		
			Green Mushrooms
			82
		
		
			Yellow Mushrooms
			81
		
		
			Purple Mushrooms
			80
		
		
			Red Flowers
			19
		
		
			Yellow Flowers
			17
		
	



Which of the following note cards would you like to purchase? You must purchase one and only one.","You are about to go on a quest and will likely sustain damage. In the table below, there is a list of remedies with different strengths. In the future, you won't have access to this information, but you will have access to a note card that you can purchase prior to your quest, summarizing the information in the table. Recall that you have 1000 gold coins.

 

	
		
			Remedy
			Strength
		
		
			Green Mushrooms
			99
		
		
			Yellow Mushrooms
			81
		
		
			Purple Mushrooms
			63
		
		
			Red Flowers
			35
		
		
			Yellow Flowers
			1
		
	



Which of the following note cards would you like to purchase? You must purchase one and only one.","You now have [Field-coins1] gold coins. 

After departing on your quest, your character sustains a burn. This causes you to lose 120 health points, bringing you down to a total of 880 health points. A healer offers you a Yellow Mushroom, to restore some of your health. You look at your note card, which says: 

[Field-notes] 

What is the maximum number of gold coins that you would be willing to pay for a Yellow Mushroom?","The healer sold you a Yellow Mushroom at that price, and it replenished 81 health points. You now have [Field-coins2] gold coins and 961 health points.

You look at your note card again, which says: [Field-notes] - On a scale from -3 (very unhelpful) to 3 (very helpful), how helpful were your notes in deciding how much to pay for a yellow mushroom?","You now have [Field-coins2] gold coins and 960 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 100 gold coins. Below, please enter your best recollection of the strength of each remedy. - Green Mushrooms","You now have [Field-coins2] gold coins and 960 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 100 gold coins. Below, please enter your best recollection of the strength of each remedy. - Yellow Mushrooms","You now have [Field-coins2] gold coins and 960 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 100 gold coins. Below, please enter your best recollection of the strength of each remedy. - Purple Mushrooms","You now have [Field-coins2] gold coins and 960 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 100 gold coins. Below, please enter your best recollection of the strength of each remedy. - Red Flowers","You now have [Field-coins2] gold coins and 960 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 100 gold coins. Below, please enter your best recollection of the strength of each remedy. - Yellow Flowers","To the best of your recollection, which character did you choose?",Was anything about this survey confusing or frustrating for you?,pay,time,PROLIFIC_PID,STUDY_ID,SESSION_ID,loss,cost,coins1,notes,coins2,coins3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID8""}","{""ImportId"":""QID101""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97_4""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID98_2""}","{""ImportId"":""QID98_3""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID98_5""}","{""ImportId"":""QID16""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""pay""}","{""ImportId"":""time""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""loss""}","{""ImportId"":""cost""}","{""ImportId"":""coins1""}","{""ImportId"":""notes""}","{""ImportId"":""coins2""}","{""ImportId"":""coins3""}"
4/20/23 13:42,4/20/23 13:45,IP Address,*******,100,184,TRUE,4/20/23 13:45,R_OwnRc9hh8RMH0sN,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,62d59a7b40c07da2c0a5b473,995,910,Wizard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,81,3,82,81,80,19,13,Wizard,,$1.00 ,5 minutes,62d59a7b40c07da2c0a5b473,64418fa1704d272f0e168bab,6441958aa031e2bab9c52e8d,low,100,900,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",819,819
4/20/23 13:41,4/20/23 13:45,IP Address,*******,100,250,TRUE,4/20/23 13:45,R_1qVZybvaFVUsDdg,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5fc17c03d0cabf16011a647b,995,910,Warrior,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 100 Gold Coins.",,70,1,83,82,81,19,17,Warrior,,$1.00 ,5 minutes,5fc17c03d0cabf16011a647b,64418fa1704d272f0e168bab,64419568229479353e4c42b5,low,120,900,"""Mushrooms are stronger than flowers.""",830,830
4/20/23 13:42,4/20/23 13:48,IP Address,*******,100,335,TRUE,4/20/23 13:48,R_3qQgwmnGA3TzpEa,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5f9b9c744711463d29dbe9a7,995,910,Wizard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",60,1,120,81,55,36,1,Wizard,"No, although I wanted a cool wizard name",$1.00 ,5 minutes,5f9b9c744711463d29dbe9a7,64418fa1704d272f0e168bab,644195a9d29812cf69a7b445,high,120,880,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",820,820
4/20/23 13:46,4/20/23 13:52,IP Address,*******,100,409,TRUE,4/20/23 13:52,R_3388PDKAVbXs2vu,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,610e0dc76d43ecb6fea93855,5,910,Wizard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",120,2,120,100,90,65,35,Wizard,"just remembering, it has been hard for me since i have brain fog from covid, and things still smell and taste weird, fuck kushner and trump and republicans for their involvement in my ill health",$1.00 ,5 minutes,610e0dc76d43ecb6fea93855,64418fa1704d272f0e168baa,6441967a4e4b741e68e1ec42,high,120,880,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",760,760
4/20/23 13:53,4/20/23 13:55,IP Address,*******,100,160,TRUE,4/20/23 13:55,R_2QM5wi84t6KT82k,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5e6a610ab80986011a2bafa8,995,910,Siren,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,100,0,82,81,80,19,20,Siren,,$1.00 ,5 minutes,5e6a610ab80986011a2bafa8,64418fa1704d272f0e168bab,6441981667207ce00b88c197,low,100,900,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",800,800
4/20/23 14:00,4/20/23 14:02,IP Address,*******,100,166,TRUE,4/20/23 14:02,R_1ibBdSsjkA1fivE,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,55884984fdf99b4021921e67,995,910,Wizard,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 100 Gold Coins.",80,1,99,80,70,50,40,Wizard,No,$1.00 ,5 minutes,55884984fdf99b4021921e67,64418fa1704d272f0e168bab,644199c4c816f9a668ef3169,high,120,900,"""Mushrooms are stronger than flowers.""",820,820
4/20/23 14:00,4/20/23 14:03,IP Address,*******,100,186,TRUE,4/20/23 14:03,R_3Odp3Xkda6riuRd,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5c33ccf9377d960001044af0,995,910,Warrior,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,50,1,82,60,40,30,20,Warrior,None,$1.00 ,5 minutes,5c33ccf9377d960001044af0,64418fa1704d272f0e168baa,644199bc1f83f585a219f8b1,low,100,900,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",850,850
4/20/23 14:08,4/20/23 14:11,IP Address,*******,100,164,TRUE,4/20/23 14:11,R_2tneMthvt81IlxX,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5cba91f716ab74001672d747,995,910,Huntress,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 100 Gold Coins.",,80,2,83,82,81,19,18,Huntress,No,$1.00 ,5 minutes,5cba91f716ab74001672d747,64418fa1704d272f0e168baa,64419bbfb1dc1b82719b960f,low,120,900,"""Mushrooms are stronger than flowers.""",820,820
