StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,PID,CompCheck,CharSel,NoteCardChoice_LL,NoteCardChoice_HL,NamedPrice,HowHelpful_4,Q98_1,Q98_2,Q98_3,Q98_4,Q98_5,Checker,Feedback,pay,time,PROLIFIC_PID,STUDY_ID,SESSION_ID,loss,cost,coins1,notes,coins2,coins3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Adult Consent Form

Princeton University

 

This study has been approved by the Institutional Review Board for Human Subjects.

TITLE OF RESEARCH: Explanation and Understanding



PRINCIPAL INVESTIGATOR: Tania Lombrozo 



PRINCIPAL INVESTIGATOR’S DEPARTMENT: Psychology



You are being invited to take part in a research study. Before you decide to participate in this study, it is important that you understand why the research is being done and what it will involve. Please take the time to read the following information carefully. Please ask the researcher if there is anything that is not clear or if you need more information.



Purpose of the research:

This study is designed to test hypotheses about the nature of people's intuitive theories about the world, how they can be changed, and how they influence judgments and behavior. We also hope to learn about how you conceptually understand the world around you. Our intuitive sense of everyday objects and events in the world play a significant role in our thoughts and behaviors, and we wish to understand the nature of human cognition. 



Study Procedures: 

You may be asked to do one or more of the following tasks 1) causal learning tasks (e.g., figuring out what causes what), 2) social tasks (e.g., reasoning about others’ minds and behavior), 3) linguistic tasks (e.g., word associations and learning), 4) imagination tasks (e.g., reasoning about events counter to fact), 5) categorization/association tasks (e.g., grouping objects or stating what comes to mind given a prompt), 6) general cognitive tasks (e.g., impulse control and searching for hidden objects). You may be asked to make judgments about what you see, answer multiple choice or open-ended questions about your judgments (such as making predictions and providing explanations), observe events, and perform actions yourself (such as grouping objects). Sometimes you might watch a short video clip, look at pictures, or listen to music, and you may be asked to answer questions about how the clip or music made you feel.



Your total expected time commitment for this study is: [Field-time].



Benefits and Risks: 

There are no direct benefits to you as a participant, but this research will help us understand various cognitive processes, which may benefit society in a number of ways, including influencing legal and public policy.



Risks associated with participation in this study are minimal. You may feel slight discomfort answering some questions, but you may refrain from answering any questions that make you uncomfortable and may withdraw your participation at any time even after completing the experiment without penalty.



Confidentiality:

We will not be asking for any personally identifying information, and we will handle responses as confidentially as possible. Prolific IDs will never be tied to your responses on this survey. However, we cannot guarantee the confidentiality of information transmitted over the Internet. To minimize this risk, data containing anything that might be personally identifiable (e.g. Prolific IDs or IP addresses) will be encrypted on transfer and storage and will only be accessible to qualified lab personnel. We will be keeping data collected as part of this experiment indefinitely. This anonymized data (containing neither Prolific IDs nor IP addresses) may be shared with the scientific community or with other participants to be used as stimuli in future studies.



Compensation:

For your participation, you will receive [Field-pay]. If for any reason you do not complete the study (e.g. technical difficulties, or a desire to stop), we will only be able to pay you if you send an email through Prolific, or by emailing the lab manager at cognition@princeton.edu. If you have any questions about the study, feel free to contact the lab manager or the Principal Investigator, Tania Lombrozo, at lombrozo@princeton.edu.



Who to contact with questions:



1.PRINCIPAL INVESTIGATOR:

Tania Lombrozo

lombrozo@princeton.edu 



2. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the Investigator, please contact the Institutional Review Board at:

Assistant Director, Research Integrity and Assurance

Phone: (609) 258-9843

Email: irb@princeton.edu



3. I understand the information that was presented and that: A. My participation is voluntary, and I may withdraw my consent and discontinue participation in the project at any time. My refusal to participate will not result in any penalty. B. I do not waive any legal rights or release Princeton University, its agents, or you from liability for negligence. 



 4. I hereby give my consent to be the subject of your research.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","Suppose that you are going to play a role-playing game in which the object is to end the game with as many health points and gold coins as possible. You begin the game with 100 health points and 100 gold coins.

Your character may sustain damage, leading to a loss of health points. The main way to counteract damage is by purchasing remedies. These remedies can come in varying strengths, with the strength corresponding to the amount of health points that are replenished. So, for example, if you sustain damage that causes you to lose 12 health points, then a remedy of strength 11 will give you back 11 of the 12 health points you lost.

To show that you understand, suppose that you have 100 health points, and then sustain damage, leading to a loss of 15 health points. If you take a potion with strength 10, how many health points do you have?",Please select the type of character that you would like to play as from the options below.,"You are about to go on a quest and will likely sustain damage. In the table below, there is a list of remedies with different strengths. In the future, you won't have access to this information, but you will have access to a note card that you can purchase prior to your quest, summarizing the information in the table. Recall that you have 100 gold coins. 

 

	
		
			Remedy
			Strength
		
		
			Green Mushrooms
			9
		
		
			Yellow Mushrooms
			8
		
		
			Purple Mushrooms
			7
		
		
			Red Flowers
			2
		
		
			Yellow Flowers
			1
		
	



Which of the following note cards would you like to purchase? You must purchase one and only one.","You are about to go on a quest and will likely sustain damage. In the table below, there is a list of remedies with different strengths. In the future, you won't have access to this information, but you will have access to a note card that you can purchase prior to your quest, summarizing the information in the table. Recall that you have 100 gold coins.

 

	
		
			Remedy
			Strength
		
		
			Green Mushrooms
			12
		
		
			Yellow Mushrooms
			8
		
		
			Purple Mushrooms
			4
		
		
			Red Flowers
			3
		
		
			Yellow Flowers
			0
		
	



Which of the following note cards would you like to purchase? You must purchase one and only one.","You now have [Field-coins1] gold coins. 

After departing on your quest, your character sustains a burn. This causes you to lose 12 health points, bringing you down to a total of 88 health points. A healer offers you a Yellow Mushroom, to restore some of your health. You look at your note card, which says: 

[Field-notes] 

What is the maximum number of gold coins that you would be willing to pay for a Yellow Mushroom?","The healer sold you a Yellow Mushroom at that price, and it replenished 8 health points. You now have [Field-coins2] gold coins and 96 health points.

You look at your note card again, which says: [Field-notes] - On a scale from -3 (very unhelpful) to 3 (very helpful), how helpful were your notes in deciding how much to pay for a yellow mushroom?","You now have [Field-coins2] gold coins and 96 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 10 gold coins. Below, please enter your best recollection of the strength of each remedy. - Green Mushrooms","You now have [Field-coins2] gold coins and 96 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 10 gold coins. Below, please enter your best recollection of the strength of each remedy. - Yellow Mushrooms","You now have [Field-coins2] gold coins and 96 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 10 gold coins. Below, please enter your best recollection of the strength of each remedy. - Purple Mushrooms","You now have [Field-coins2] gold coins and 96 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 10 gold coins. Below, please enter your best recollection of the strength of each remedy. - Red Flowers","You now have [Field-coins2] gold coins and 96 health points. If you can recall the exact strength of each of the remedies that you saw earlier, you will receive a bonus of 10 gold coins. Below, please enter your best recollection of the strength of each remedy. - Yellow Flowers","To the best of your recollection, which character did you choose?",Was anything about this survey confusing or frustrating for you?,pay,time,PROLIFIC_PID,STUDY_ID,SESSION_ID,loss,cost,coins1,notes,coins2,coins3
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID8""}","{""ImportId"":""QID101""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97_4""}","{""ImportId"":""QID98_1""}","{""ImportId"":""QID98_2""}","{""ImportId"":""QID98_3""}","{""ImportId"":""QID98_4""}","{""ImportId"":""QID98_5""}","{""ImportId"":""QID16""}","{""ImportId"":""QID95_TEXT""}","{""ImportId"":""pay""}","{""ImportId"":""time""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""loss""}","{""ImportId"":""cost""}","{""ImportId"":""coins1""}","{""ImportId"":""notes""}","{""ImportId"":""coins2""}","{""ImportId"":""coins3""}"
4/18/23 7:18,4/18/23 7:21,IP Address,*******,100,209,TRUE,4/18/23 7:21,R_1cSRAAjzkgSppLE,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5b26ed8a8ecf3f0001619040,95,Wizard,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",,6,1,9,8,7,2,1,Wizard,No,$1.00 ,5 minutes,5b26ed8a8ecf3f0001619040,643e94504237931b59924833,643e97f6b6c0ff804a8c91d0,low,20,90,"""Mushrooms are stronger than flowers.""",84,94
4/18/23 7:22,4/18/23 7:24,IP Address,*******,100,168,TRUE,4/18/23 7:24,R_3lKVo0VHQgmHKgM,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5f93190131a30e0ac3456eaa,95,Bard,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",10,0,10,8,6,4,2,Bard,,$1.00 ,5 minutes,5f93190131a30e0ac3456eaa,643e94504237931b59924833,643e99765bf1de7e41a43c83,high,12,90,"""Mushrooms are stronger than flowers.""",80,80
4/18/23 7:26,4/18/23 7:29,IP Address,*******,100,233,TRUE,4/18/23 7:29,R_2SjDwDM8SSIxQUB,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5d5be747b80b900015eda31e,95,Bard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,8,3,9,8,7,3,2,Bard,,$1.00 ,5 minutes,5d5be747b80b900015eda31e,643e94504237931b59924834,643e9a63fba0d7d56f303777,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",82,82
4/18/23 7:31,4/18/23 7:34,IP Address,*******,100,209,TRUE,4/18/23 7:34,R_2vc3z4b6PaAfK0D,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,60fcd2ccc588ee8cca5168c0,95,Wizard,,"A note card that says ""Mushrooms are stronger than flowers."" Cost: 10 Gold Coins.",6,1,8,6,3,3,0,Wizard,,$1.00 ,5 minutes,60fcd2ccc588ee8cca5168c0,643e94504237931b59924834,643e9ba4a5ecd615da398c8b,high,20,90,"""Mushrooms are stronger than flowers.""",84,84
4/18/23 7:34,4/18/23 7:40,IP Address,*******,100,347,TRUE,4/18/23 7:40,R_2ygyd9QF3pDtDnv,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,615064bfb9e0c46f6a9b91b1,95,Bard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",7,2,12,8,4,3,0,Bard,,$1.00 ,5 minutes,615064bfb9e0c46f6a9b91b1,643e94504237931b59924834,643e9c57293523582f872f6b,high,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",83,93
4/18/23 7:39,4/18/23 7:42,IP Address,*******,100,167,TRUE,4/18/23 7:42,R_3VOLi7BCYdrbAKl,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,614f2b16d983019aeace1fe5,95,Siren,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,7,1,12,8,6,3,1,Siren,,$1.00 ,5 minutes,614f2b16d983019aeace1fe5,643e94504237931b59924834,643e9d8bde721b6ce2c4a1a2,low,12,88,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",81,81
4/18/23 7:40,4/18/23 7:43,IP Address,*******,100,156,TRUE,4/18/23 7:43,R_QnUv9lVgRgiP4jf,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,5c57890153fba80001bd3ba1,95,Wizard,,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",10,3,12,8,4,3,0,Wizard,,$1.00 ,5 minutes,5c57890153fba80001bd3ba1,643e94504237931b59924833,643e9dd4194bf35758398ca1,high,20,80,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",70,80
4/18/23 7:40,4/18/23 7:44,IP Address,*******,100,204,TRUE,4/18/23 7:44,R_sROjQGhyTP2zwvn,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent,6235539e17f00ae3c9756495,10,Wizard,"A note card that says ""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers."" Cost: ${e://Field/cost} Gold Coins.",,5,1,8,7,4,2,1,Wizard,no,$1.00 ,5 minutes,6235539e17f00ae3c9756495,643e94504237931b59924833,643e9de3fa24c124172a5779,low,10,90,"""Green mushrooms are strongest, followed by yellow mushrooms, then purple mushrooms, then red flowers, then yellow flowers.""",85,85
